Grapheme	IPA	Frequency
ɛ	ɛ	50
ɨ	ɨ	33
i$	i	26
a	a	25
u	u	15
l	l	14
ɛ$	ɛ	14
n	n	13
b	b	12
a$	a	12
^s	s	11
s	s	10
t	t	10
^ʔ	ʔ	9
r	r	9
^k	k	8
m	m	8
^m	m	8
ħ	ħ	7
i	i	7
^n	n	7
e$	e	7
^kˤ	kˤ	7
o	o	7
y	y	7
^ħ	ħ	6
sˤ	sˤ	6
^sˤ	sˤ	6
x	x	5
^ʕ	ʕ	5
m$	m	5
y$	y	5
d	d	4
^d	d	4
ʔ	ʔ	4
^b	b	4
ʕ	ʕ	4
g	g	4
w	w	3
^l	l	3
b$	b	3
^a	a	3
ħ$	ħ	3
^r	r	3
f	f	3
dd	dd	3
s$	s	3
ll	ll	2
yy	yy	2
f$	f	2
tˤ	tˤ	2
^tˤ	tˤ	2
kˤ	kˤ	2
z	z	2
ww	ww	2
bb	bb	2
xˤ$	xˤ	2
d$	d	2
k	k	2
+	?	2
^t	t	2
n$	n	2
ss	ss	2
u$	u	1
ɪ$	ɪ	1
ə	ə	1
rr	rr	1
xˤ	xˤ	1
sˤ$	sˤ	1
^h	h	1
gʷ	gʷ	1
^f	f	1
^kˤʷ	kʷˤ	1
e	e	1
i:	iː	1
l$	l	1
^w	w	1
cˤ	cˤ	1
h$	h	1
r$	r	1
^z	z	1
ʔ$	ʔ	1
t$	t	1
kˤkˤ	kˤkˤ	1
<(>	?	1
<)>	?	1
$	NULL	1
kk	kk	1
^cˤ	cˤ	1
tˤtˤ	tˤtˤ	1
^ɨ	ɨ	1
zz	zz	1
nn	nn	1
tt	tt	1
eʸ	eʲ	1
