Grapheme	IPA	Frequency
ɛ	ɛ	55
ɨ	ɨ	25
-	<?>	18
a	a	16
a$	a	14
^a	a	12
$	NULL	12
^m	m	11
m$	m	11
m	m	9
l	l	9
^s	s	9
ə	ə	8
t$	t	8
s	s	8
r$	r	8
n	n	8
^g	g	8
u	u	7
a:	aː	7
^w	w	7
n$	n	7
^kˤ	kˤ	6
^d	d	6
b$	b	6
nn	nn	6
ɛ$	ɛ	6
r	r	5
i	i	5
kˤ	kˤ	5
b	b	5
^b	b	5
o:	oː	5
^ɨ	ɨ	5
^z	z	5
^k	k	4
ll	ll	4
s$	s	4
kˤ$	kˤ	4
ɔ	ɔ	4
f$	f	4
ss	ss	4
g	g	4
f	f	3
tˤ	tˤ	3
y	y	3
dd	dd	3
d	d	3
mm	mm	3
ɛ:	ɛː	3
cˤcˤ	cˤcˤ	3
^y	y	3
	<?>	2
^n	n	2
^tˤ	tˤ	2
rr	rr	2
^cˤ	cˤ	2
^a:	aː	2
l$	l	2
bb	bb	2
^t	t	2
o	o	2
h	h	2
ə$	ə	2
u$	u	1
d$	d	1
kk	kk	1
tˤtˤ	tˤtˤ	1
t	t	1
ʊ	ʊ	1
z	z	1
o$	o	1
^i:	iː	1
^f	f	1
yy	yy	1
ʔ	ʔ	1
j$	j	1
^l	l	1
rr$	rr	1
i$	i	1
gg	gg	1
cˤ	cˤ	1
w	w	1
zz	zz	1
k	k	1
nn$	nn	1
e	e	1
^i	i	1
