Gloss,Gɛ'ɛz,Tigrɛ,Tigrinya,Amharic,Argobba,Harari,Zway,ʷalani,Gafat,Soddo,Mesqan,Innemor,Mesmes,Geto,Chaha,Hebrew,Ugaritic,Aramaic,Akkadian,Mɛhri,Gibbali,Soqotri,Harsusi,Moroccan Arabic,Ogadɛn Arabic
All,kʷɨllu,kɨllu,kullu,hullu,diyyu,kulluzo:m,hullɨn,ullimka,yɨlho,kullɨmu,ɨnɛmɔ,ɨnnɨ,ɔt'tɛmi,ɨnnɨm,ɨnnɨm,kol,kl,kul,kalu:,ka:l,kal,faħre,faxreh/kal,koll,kull
Ashes,ħamɛd,ba:rɨh,ħamuxwušti,amɛd,ħamɛd,ħamɛd,hamɛd,amɛd,---,amɛd,aməd,amɛnd,hawɛnda,amɛd,amɛd,ʔe:ɸer,ʕmr,k'et'ma/rmu:ʕa:,tumru/dikme:nu,rɛme:d,rĩd,riimid,remed,rmad',rama:d
Bark (tree),lɨhɨs',k'araf,lɨħs'i,lɨt',lit'ɔ,lit',k'ɛ:nc'e,bossɛ,---,k'ərfit,milɛc'ɛ,xa:ra,ha:nna,xara,xara,k'elippah,---,k'laɸθa:,k'ulpu,k'ɛle:fo:t,k'aɬor,k'alifoh,k'elfe:t/k'ełir,k'eʃra,jaza9
Belly,7ɨngɨdɛ7a,kabɨd,kɛbdi,hod,kɛrs,k'ɛrfit,dɛ:l,dɛl,ɨrsɛ,kərs,dən,kɛs,kɔssa,dɛn,dɛn,bet'en,kbd,karsa:,karʃa,ho:fɛl,šɔfɛl,mer,hofel,kerʃ,bat'in
Big,9abiyy,9abi,9abiyyi,tɨllɨk',nɛham,gidi:r,gɪ:di:r,egədɛrɛ,ɨmmunɛ,ma:lɛk',wɛdɛl,nu7,k'ɔk'ɔ,nɨk,nɨk,gaðol,gdl/rb/mid,rabba:,rabu/maʔdu,ɬo:x,ʔib,ʕiik'er,nob/łox,kbir,kabi:r
Bird,9of,sare:rat,9uf,wɛf,(w)ɔf,7u:f,ɔ:mf,unf,yɨfʷɛ,wɔf,af,anfw,ɔ:nfa,anfw,anfw,s'ippor,ʕs'r,s'eppra,is's'uru,t'eyriit,ʕes'ferɔt,ʔes'feeroh,sweħħer,t'ir,t'ayr
Bite (v.),nɛkkɛsɛ,nakša,nɛxəse,nɛkkɛsɛ,nɛkkɛse,nɛxɛsɛ,nɛkkɛse,---,nɛkkɛsɛ,nɛkkɛsɛ+m,nɛkəsɛ,nɛkɛsɛ,nakɔ+se,nɛkɛsɛ+m,nɛkɛsɛ+m,na:ʃax,nθk,nxaθ,naʃaku,nɛθk,ɮaʕar,ɮˤaʕab,k'ebos',ɛed'd'a,9aɟ'ɟ'
Black,s'ɛllim,s'allɨm,s'ɛllim,t'ɨk'ʷur,t'ħɨk'(ʷ)ur,t'ɛy,gɛmbɛlla,t'ɛm,t'ɨk'urɛ,t'ɨk'ur,t'ək'ʷɔr,du7ur,gɔmbɔnna,t'ɨk'ur,t'ɨk'ur,ʃa:ħo:r,---,ukka:ma:,s'almu,ħo:wɛr,ħɔr,ħaur,ħewer/swad,kħel,7aswad
Blood,dɛm,dam,dɛm,dɛm,dɛm,dɛm,dɛm,---,dɛmʷɛ,dɛm,dʸɛm,dɛm,dɔ,dɛm,dɛm,da:m,dm,dma:,da:mu,ðo:ra,ðɔhr,door,ðoreʔ,demm,dam
Bone,9as'ɨm,9as'im,9at'smi,at'ɨnt,hat'ɨm,a:t',hat'ɨm,at'ɨm,as'mʷɛ,at'ɨm,at'ɨm,a7ɨm,haᵘwa,at'ɨm,at'ɨm,ʕes'em,ʕẓm,garma:,es'emtu,ʔa:źayź,ʕiɮɛɮ,s'aħloh,ʔaźayź,ʕd'em,9aɟ'im
Breast,t'ɨbb,t'ɨb,t'ub,t'ut,t'ʊt,t'ʊ7t,t'u:b,t'ub,t'ʊwwɛ,t'ɨbuiya,---,t'u,t'uʷiye,t'u,---,ħazah,---,ħadhya:,irtu,θo:di,t'ɔdεʔ,todi,θodi,bezzula,ɵari
Burn (tr. v.),7awɨ9ayɛ,7andada,ak'as'ɛlɛ,ak'at't'ɛlɛ,ak'a:t'ɛli,ma:'gɛdɛ,anɛddɔt,---,(tɛ+)k'at't'lɛ,anɛddɛdɛ+m,ak'at'ɛlɛ,mɛkʸɛrɛ,totosɔ+ye,mɛkʸɛrɛ+m,mɛkʸɛrɛ+m,łaraɸ,ʃrp,auk'eð,ʃarapu,ɬawk',enħe,neeħe,ħrok',ħerk'a,ħarraq
Cloud,dɛmmɛna,dabna:,dɛbɛna,dɛmmɛna,dɛmmɛna,da:na,da:bana,dəvɛnə,dɛmmɛnɛ,dɛmmɛna,dabɛna,dɛmɛra,do:na,damɛra,damɛra,ʕanan,ʕrpt/ɣrpl,ʕna:na:/ʕarpella:,erpetu,ʔa:fo:r,ʕafor,ʕalhel,ʔafor,sħaba,saħab
Cold (air),bɛrɛd,bɨrɨd,k'urri,bɨrd,bɨrd,bi:rdi,bɨrd,bɨrd,wɨrc'ɛ,bɛrrɛdɨ+m,amɛdar,amɛda:r,zi:z+ə,amɛdar,amɛdar,k'ar,---,k'arri:ra:,kas'u:,beruud,ħɔ:r,ħebhor,k'as'm/ħebur,berd,bard
Come,mɛs'ɨ7a,mas'a,mɛs'7e,mɛt't'a,mɛt't'a,di:jɛ,mɛt't'a:n,---,sɛllɛ,mɛ:t't'a+m,cɛɲə,ma7a,-mma7a+ye,cɛnɛ+m,cɛnɛ+m,ba:ʔ,bwʔ/ʔtw/mɣy,eθa:/mt'a:,ala:ku,no:ka,zaħam,geedaħ,noka,ʒay,7aja
Die,motɛ,mo:ta,mote,mot,mo:dʸa,mo:tɛ,mo:tɛⁿ,---,fɛttɛrɛ,mo:tə+m,mʷɔtə,mo:dɛ,mɔtɔ-,motɛ+m,motɛ+m,me:θ,mwt,miθ,ma:tu,mo:t,xerɔg,s'aame,mot,mot,ma:t
Dog,kɛlb,kalɨb,kɛlbi,wɨšša,wʊššna,bʊ:ci,gɨnni,buco,wʊššɛ,wʊssa,gɨ:yə,gɨyɛ,gi:ye,gɨyɛ,gɨyɛ,keleβ,klb,kalba:,kalbu,kawb,kɔlɔb,kalb,kob,kelb,kalb
Drink (v.),sɛtɨyɛ,sata,sɛtɛyɛ,t'ɛt't'a,šɛcca,sɛ:cɛ,sɛ:ccin,---,t'it't'a,sɛc'c'ɛ+m,sɛc'ɛ(y),sɛc'ɛ,sɛ'cɔ-,sɛc'ɛ+m,sɛc'ɛ+m,ʃa:θa:h,ʃty,eʃti:,ʃatu:,?etek',yəštek'ε,re/teek'i,tek',ʃreb,šarab
Dry (adj.),yɛbɨs,yɨbus,nɛx'as',dɛrɛk',dɛrɛk',dɛrɛk',dɛrɛk',dɛrɛk',derek,dɛrɛk',t'ərɛk',dɛrɛ7,də'ro+e,t'ɛrɛk',t'ɛrɛk,ya:βe:ʃ,xrb,yabbi:ʃa:,ablu,k'ayɬa,k'ełaʕ,k'ełeħ,k'oɬa,yabes/naʃef,ya:bis
Ear,7ɨzɨn,7ɨzɨn,7ɨzni,joro,jɔro,7u'zʊn,ɨzzɨn,ɨzɨn,ɨznɛ,ɨnzɨn,ɨnzin,ɨnzɨr,ʊn'zu:ra,ɨnzɨr,ɨnzɨr,ʔo:zen,udn,eðna:,uznu,ħɛ+yðe:n,ʔiðɛn,ʔidihen,ħeyðen,wden,7uɟun
Eat,bɛl9a,bal9a,bɛl9e,bɛlla,bɛlla,bɛlɛ7a,bɛllʸa:n,---,bɛllɛ,bɛlla-,bɛna,bɛm7a,ba7'nɔ:-,bɛna+m,bɛna+m,ʔa:xal,ʔkl,exal,aka:lu,tɛwo:,te/tɛh,tee,tewo,kla,7akal
Egg,7ɨnk'o(n)k'ɨħa,7ɨnk'o:k'ħa,7ɨnk'ulaliħ,ɨnk'(ʷ)ulal,ɨnk'ulal,7ak'u:h,ɨnk'a:k,ɨnk'ak'ot,ank'ʷɛ,ank'o,ank'ʷa,ɨnk'ura,k'u:ra,ɨnk'ura,ɨnk'ura,be(y)sˤa:h,---,be:yʕθa,pelu:,bi:dᶞˤayt,k'aħezin,k'eħilhin,beð'eh,bid'a,be:ɟ'
Eye,9ɨyn,9ɨn,9ayni,ayn,e:n,7i:n,i:n,in,inɛ,i:n,eʸn,er,ɨ:n,æn,æn,ʕayin,ʕn,ʕaina:,i:nu,?a:yn,ʕihn,ʕain,ʕa:yn,ʕeyn,9e:n
Fat (n.),sɨbɨħ,šɨbɨħ,sɨbħi,c'omma,c'o:mma,lɛzɛ,c'omma,c'omə,buššɨrɛ,c'o:ma,---,mazæ,c'omma,fuk'ɨr,manzæ,dɛʃɛn,---,meʃħa:,lipu:/na:xu,ɬabħ,łabħ,ɬabaħ,ɬabħ,ʃħem,šaħma
Fire,7ɨst,7ɨsa:t,ħawwi,ɨsat,ɨssa:d,7i:'sat,ji:ra,jira,isatɛ,wsat,ɨsat,ɨsa:d,ɨ'sa:de,ɨsat,ɨsat,ʔe:ʃ,iʃt,nu:ra:,iʃatu,ɬi:wo:t',łɔt',ɬiyaat',ɬewet',ʕafya,na:r
Fish (n.),9ase,9a:sa,9asa,asa,asa:,tu:lɛm,tʸulʸu:m,asa,asɛ,asa,asa,asa,---,asa,asa,da:ɣ,dg,nu:na:,nu:nu,s'ayd,s'od/s'ed,s'oode,ħet/s'ayd,ħuta,samak
Fly (n.),zɨnb,c'ɨnc'a:y,s'ɨns'ɨya,zɨmb,zɨmb,zi:nbi,zɨmb,---,zimbɛ,zɨmb,zɨmb,zɨmb,ta:yɛ,zɨmb,zɨmb,ʕa:ɸ,ʕwp,praħ,naprusu,ðɛbbe:t,ðebbɔt,ʔedbiiboh,ðebbet,dabbana,duba:b
Foot,7ɨgɨr,7ɨgɨr,7ɨgri,ɨgɨr,ɨngɨr,7i:gir,ɨngɨr,ɨngɨr,igʷrɛ,wgɨr,əgɨr,ɛgɨr,ɨg'gɨrɛ,cenba,ɛgir,reɣel,pʕn,rɛɣla:,ʃe:pu,fa:m/ge:dɛl,faʕm/ge:dɛl,ɬab,fam/xef/gedel,rʒel,xuff
Give,mɛt'ɛwɛ,haba,habe,sɛt't'ɛ,ha:be,sɛt'ɛ,a:bɛ:nʸa,---,wabɛ,a:bɛ-,abə,amɛ,ha'mɔ-,aβɛ-,aβɛ-,na:θan,ytn,ya(h)β/nettel,nada:nu,wɛzo:m,ezum,t'ef,adwor/wezom,ɛt'a,haba
Go,ħorɛ,ge:sa,kɛde,hedɛ,he:da,le:t'ɛ,hidaⁿ,---,(a)horɛ,a:llɛfɛ-,---,wɛ:rɛ,hɔ'rɔ:-,---,wɛyɛ-,---,---,---,---,sɛyo:r,aɣád,t'aher,seyor,mʃa,ra:ħ
Good,sɛnnay,gurrum,s'ɨbbux',t'ɨru,t'ɨra+he:,bɛrɛħ,be:za,t'uri,gunnɛ,fəyyan,fəyya,wɛxe,mo'7o-,wɛxe,wɛxe,t'o:β,t'b/dmk'/mlħ,t'a:bha:/ʃappi:ra:,dmk'u,hestaw/gi:d/xayr,rħim/xar,diye/mšat'ef,ged/taw,xir/mezyan,t'ayyib
Grass,ħamɛlmal,sa9ar,sa9ri,sar,sir,sa:r,si:r,sar,sar,sar,sər,sa7ar,sa'7ari,sɛr,sɛr,deʃe:h,---,diθʔa:/ʕesba:/ħs'r,---,ħɛgel:m,łáʕɛr,roʕod/łaʕar,zeraʔ/ħełił,rbiʕ,ħaši:š
Hair (head),s'ɛgur,c'ɨgar,s'ɛgʷri,t'ɛgur,c'ɨgɛr,c'i:gɨr,t'ɛgɛr,dumi,s'igɛrɛ,gun7ɛr,-digɛr,gun7ɛr,du'gʊ:ra,gunɛr,gunɛr,łe:ʕa:r,ʃʕr,s'arθa,ʃa:rtu,ɬɛfe:t,ɬɔf,łfeh,ɬo:r,seʕra,ša9ir
Hand,7ɨd,7ɨde:,7id,ɨjj,ɨnji,7iji,ɨnji,7ɨnj,edjedje,wj,ɨjɛr,ɛj,ɨjja,ɛj,ɛj,ya:ð,yd,idha:,k'a:tu,ħayd,ʕed,ʔed,kef,idd/yedd,yad
Head,rɨ7ɨs,ra7ɨs,rɨ7si,ras,dɨmma:,7urʊs,oha:t,dumi,dɨmʷɛ,gunnɛn,g(ʷ)unɛn,gun7ɛr,gʊnnurɛ,gunɛr,gunɛr,ro:(ʔ)ʃ,riʃ,re:ʃa:,re:ʃu,ħe+ro:h,reʃ,rey,ħerih,ras',ra:s
Hear,sɛm9a,sam9a,sɛm9ɛ,sɛmma,sɛmma,sɛma7a,samma,---,sɛmmɛ,sɛmma-,sɛma,sɛm7a,sɔ'7ma-,sɛma-,sɛma-,ʃa:maʕ,ʃmʕ,ʃmaʕ,ʃɛmu:,he:ma,ʃiiʕ,hemaħ,homa,smeʕ,sama9
Heart,lɨbb,lɨb,lɨbbi,lɨbb,lɨbb,k'ɛlbi,wɛzɛ:na,wɛzɛn,---,lɨb,lɨb,xʸɨn,nu:ba,xʸɨn,xʸɨn,le:β,lb,lebba:,libbu,ħe+wbe:b,ʔu:b,ʔelbeb,k'alb/ħelbab,k'elb,qalb
Horn,k'ɛrn,k'ar,k'ɛrni,k'ɛnd,kɛnd,k'ɛr,k'ɛr,k'ɛrr,k'ɛndɛ,k'ərr,---,k'ɛn,kɔnna,---,k'ɛn,k'eren,k'rn,k'arna:,k'arnu,k'o:n,k'un,k'an,k'o:n,k'ern,qarn
I,7ɨnɛ,7ana:,anɛ,ɨne,ɨyyɔ,7an,eya,ɨhe,anɛt,ɨdi,ɨya,iya,hiy'ya,ɨya,ɨya,ʔani:/ʔa:no:xi:,an/ank,ena:,ana:ku,ho:,he,ho,hoh,ana,7ana
Kill,k'ɛtɛlɛ,k'atla,k'ɛtɛlɛ,gɛddɛlɛ,gɛddɛli,gɛdɛlɛ,k'ɛcci:n,---,---,gɛddɛlɛ,k'ət'ɛrə,7ɛtɛrɛ,ɔ:tɔrɔ-,k'ɛt'ɛrɛ-,k'ɛt'ɛrɛ-,ha:raɣ,hrg,k't'al,da:ku,lo:tɛɣ,letɛɣ,leteħ,ġayyeb,k'tel,qatal
Know,lɛbbɛwɛ,7a:mara,fɛlɛt'e,awwɛk'ɛ,wɔ:nk'a,7a:k'ɛ,ca:lɛⁿ,---,šalɛ,ša:lɛ-,harɛ,xarɛ,ha'ro:-,xarɛ-,xarɛ-,ya:ðaʕ,ydʕ,iðaʕ,idu:,ɣɛro:b,ɣarɔb,ʕerob,del,ʕref,9araf
Knee,bɨrk,---,bɨrki,gulbɛt,gulbɛt,gi:lib,gulbɛt,bɨrk,---,gulbɛt,---,gurmɛnd,gʊnno:da,---,---,berex,brk,burka:,birku,bark,bɛrk,berk,bark,rokba,rukba
Leaf,k'ʷos'ɨl,k'at'af,k'ʷes'li,k'it'ɛl,k'ɛt'ɛl,k'ʊt'ɪ,k'ɨt'e:y,k'ut'ɛl,katališ,k'ɨt'ɛl,k'ɨt'ɛl,kɛ7ɛr,ko'7ora,nɨzɨr,k'ɪt'ɛr,ʕa:leh,---,t'arpa:,aru,s'ɛɣa:fe:t,s'ɣiźfɔt,s'aʕlof,---,werk'a,waraq
Liver,kɛbd,kabdat,t'afiya,gubbɛt,amfaha,ku:d,gʊbu:t,kəbt,---,gɨbbɔt,habɨd,---,fɔre,xɛbt,xɛbt,ka:βe:ð,kbd,kaβda:,kabittu,ʃɛbde:t,çubdét,ʃébdeh,ʃebdet,kebda,kabd
Long,nɛwwix,rayyim,nɛwwi:ħ,rɛjjɨm,rɛžžɨm,gudʊrr,gudɛr,gudɛr,gɛddɛrmɛ,gɛllɨf,gəli:f,de:ka,gʊd'dɔr-,geef,geef,ʔa:ro:x,ark,arrixa:,arku,t'ɛwáyl,rihm,rihom,t'ewil,t'wil,t'awi:l
Louse,k'ɨmal,k'ɨmal,k'umal,k'ɨmal,k'ɨm(m)al,k'uma:y,k'ɨma:y,k'umal,kemališ,k'ɨmal,k'ɨmal,ɨma:r,k'u'wa:na,k'ɨmar,k'ɨmar,kinna:m,---,k'almθa:,kalamatu,kɛnɛmo:t,kunum,konem,kenemot,k'emla,qumal
