,ALL,ASHES,BARK (TREE),BELLY,BIG,BIRD,BITE (V.),BLACK,BLOOD,BONE,BREAST,BURN (TR. V.),CLOUD,COLD (OF AIR),COME,DIE,DOG,DRINK (V.),DRY (ADJ.),EAR,EAT,EGG,EYE,FAT,FIRE,FISH,FLY (N.),FOOT,GIVE,GO,GOOD,GRASS,HAIR,HAND,HEAD,HEAR,HEART,HORN,I,KILL,KNOW,KNEE,LEAF,LIVER,LONG,LOUSE,MAN,MANY,MEAT,MOON,MOUNTAIN,MOUTH,NAME,NECK,NEW,NIGHT,NOSE,ONE,RAIN (N.),RED,ROAD,ROOT,SAND,SAY,SEE,SEED,SIT,SKIN (N.),SLEEP (V.),SMALL,SMOKE (N.),SNAKE,STAND,STAR,STONE,SUN,SWIM,TAIL,THIN,THIS,THREE,THOU,TONGUE,TOOTH,TREE,TWO,WARM,WATER,WE,WET,WHAT?,WHITE,WHO?,WOMAN,YE
Ge'ez,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,-,A,A,A,-,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Tigre,A,B,B,B,A,B,A,A,A,A,A,B,-,A,A,A,A,A,A,A,A,-,A,A,A,-,B,A,B,B,B,B,-,A,A,A,A,A,A,A,B,-,B,A,B,A,-,A,-,A,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,B,-,B,A,A,A,B,A,A,A,-,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,B,A
Tigrinya,A,C,A,B,A,A,A,A,A,A,A,-,-,B,A,A,A,A,B,A,A,-,A,A,B,-,B,A,B,C,C,B,-,A,A,A,A,A,A,A,C,A,A,B,A,A,A,A,-,A,B,A,A,A,A,A,A,A,B,A,C,A,A,A,A,A,B,-,C,A,B,B,C,A,A,A,-,-,A,A,A,B,-,A,B,A,A,A,A,C,A,A,A,-,B
Amharic,A,A,A,-,B,A,A,B,A,A,B,C,-,A,A,A,-,B,C,B,A,-,A,-,A,-,A,A,C,C,D,B,-,A,A,A,A,A,A,B,D,-,A,A,B,A,A,A,-,B,C,A,A,C,A,A,B,A,A,A,C,A,-,B,B,A,C,-,D,B,-,C,A,A,B,A,A,-,A,A,A,A,B,C,-,A,A,-,A,A,A,B,A,C,C
Argobba,B,A,A,C,C,A,A,B,A,A,B,C,-,A,A,A,-,A,C,B,A,-,A,-,A,-,A,A,B,C,D,B,-,A,B,A,A,A,B,B,D,-,A,C,B,A,A,A,A,B,-,A,A,C,A,B,B,A,A,A,D,A,-,B,C,A,D,-,D,C,-,C,A,A,B,A,A,-,A,C,B,C,B,A,-,A,A,-,A,A,A,C,A,D,D
Harari,A,A,A,D,D,A,A,C,A,A,B,D,-,A,B,A,B,A,C,A,A,A,A,B,A,A,A,A,C,D,E,B,-,A,A,A,A,A,A,B,-,-,A,A,C,A,A,A,B,B,D,A,A,C,A,C,B,A,A,A,-,A,B,A,A,B,E,-,E,D,A,C,D,B,A,-,B,B,A,A,B,D,-,A,D,A,C,A,A,A,A,B,A,E,E
Zway,A,A,C,-,D,A,A,-,A,A,A,B,-,A,A,A,C,A,C,A,A,A,A,-,-,A,A,A,B,C,F,B,-,A,C,A,-,A,B,A,E,-,A,A,C,A,A,A,B,B,D,A,A,C,B,C,A,A,A,B,-,A,B,A,D,B,E,-,D,D,A,C,D,A,A,-,C,C,A,A,A,A,-,A,A,A,A,A,A,A,A,-,A,C,A
Walani,A,A,D,E,D,A,-,D,-,A,A,-,-,A,-,-,B,-,C,A,-,-,A,-,-,-,-,A,-,-,D,B,A,A,B,-,-,A,B,-,-,A,A,A,C,A,A,A,B,A,-,A,A,C,A,C,C,A,A,-,-,A,-,-,-,A,-,-,-,E,A,-,-,A,A,-,-,C,-,-,B,A,-,A,A,A,A,A,A,-,A,-,A,F,A
Gafat,C,-,-,F,E,A,A,B,A,A,A,C,-,C,C,B,-,B,C,A,A,-,A,C,A,-,A,A,B,A,-,B,-,A,B,A,-,A,A,-,E,-,A,-,C,A,A,B,C,B,B,-,A,C,A,A,A,C,A,A,E,C,-,A,B,A,F,-,F,B,A,C,A,A,B,B,-,-,A,D,B,A,B,A,-,A,A,-,A,C,-,B,A,F,C
Soddo,A,A,B,C,F,A,A,B,A,A,A,B,-,A,A,A,-,C,C,A,A,-,A,-,A,-,A,A,B,D,-,B,B,A,D,A,A,A,C,B,E,-,A,A,D,A,A,C,B,B,-,A,A,C,A,D,A,A,A,-,F,A,-,A,C,A,F,-,E,F,A,C,A,A,A,C,A,-,A,A,B,E,B,A,C,A,A,-,A,D,B,B,B,F,-
