,ALL,ASHES,BARK (TREE),BELLY,BIG,BIRD,BITE (V.),BLACK,BLOOD,BONE,BREAST,BURN (TR. V.),CLOUD,COLD (OF AIR),COME,DIE,DOG,DRINK (V.),DRY (ADJ.),EAR,EAT,EGG,EYE,FAT,FIRE,FISH,FLY (N.),FOOT,GIVE,GO,GOOD,GRASS,HAIR,HAND,HEAD,HEAR,HEART,HORN,I,KILL,KNOW,KNEE,LEAF,LIVER,LONG,LOUSE,MAN,MANY,MEAT,MOON,MOUNTAIN,MOUTH,NAME,NECK,NEW,NIGHT,NOSE,ONE,RAIN (N.),RED,ROAD,ROOT,SAND,SAY,SEE,SEED,SIT,SKIN (N.),SLEEP (V.),SMALL,SMOKE (N.),SNAKE,STAND,STAR,STONE,SUN,SWIM,TAIL,THIN,THIS,THREE,THOU,TONGUE,TOOTH,TREE,TWO,WARM,WATER,WE,WET,WHAT?,WHITE,WHO?,WOMAN,YE
Mesqan,A,A,E,E,G,A,A,B,A,A,-,C,-,D,D,A,C,C,D,A,A,-,A,-,A,-,A,A,B,-,-,B,-,A,D,A,A,-,B,A,F,-,A,A,D,A,A,A,B,-,E,A,A,C,C,D,A,A,A,-,G,A,-,C,C,A,G,-,F,G,A,D,A,C,A,A,D,D,A,A,B,C,-,D,C,A,D,-,A,E,A,B,-,F,E
Innemor,A,A,G,C,H,A,A,E,A,A,A,D,-,E,A,A,C,C,C,A,A,-,A,D,A,-,A,A,B,E,G,B,B,A,D,A,B,A,B,A,F,-,A,-,E,A,A,D,B,B,F,A,A,C,C,D,A,A,C,-,G,A,-,A,C,A,G,-,E,G,A,E,E,A,A,D,E,E,A,E,B,C,-,A,E,A,A,-,A,E,A,D,A,F,E
Mesmes,D,A,F,C,I,A,A,-,A,B,A,E,-,E,A,A,C,C,C,A,A,-,A,-,A,-,C,A,B,A,H,B,-,A,D,A,A,A,B,A,F,-,A,D,C,A,A,E,B,B,E,A,A,C,B,-,A,A,C,-,G,D,C,A,D,A,G,-,G,B,A,C,E,A,A,C,F,E,A,E,B,C,-,A,F,A,A,-,A,E,A,E,C,F,E
Geto,A,A,G,E,J,A,A,B,A,A,A,D,-,D,D,A,C,C,D,A,A,-,A,E,A,-,A,B,B,-,G,B,B,A,D,A,B,-,B,A,F,-,C,A,D,A,A,F,B,-,F,A,A,C,C,D,A,A,A,-,G,A,-,A,C,A,G,-,E,B,A,E,A,A,A,A,E,E,A,A,B,C,-,A,G,A,A,-,A,E,A,B,A,F,E
Chaha,A,A,G,E,J,A,A,B,A,A,-,D,-,D,D,A,C,C,D,A,A,-,A,D,A,-,A,A,B,E,G,B,B,A,D,A,B,A,B,A,F,-,A,A,D,A,A,A,B,B,F,A,A,C,C,D,A,A,A,-,G,A,-,A,C,A,G,-,E,B,A,E,A,A,A,D,E,E,B,A,B,C,-,A,A,A,A,-,A,F,A,B,A,F,E
Hebrew,A,D,H,G,K,C,B,F,A,A,B,F,A,B,E,A,A,A,A,A,B,B,A,F,C,B,D,C,D,F,I,C/J,C,B,A,A,A,A,A,C,G,A,D,A,F,B,B,G,B,C,G,B,A,D,A,A,A,A,D/I,C,H,E,D,D,A,A,H,B,H,H,C,F,F,A,A,E,F,A,C,E,A,A,A,A,A,B,E,A,A,A,B,F,D,G,A
Ugaritic,A,E,H,B,K,D,C,-,A,A,-,F,B,-,E,A,A,A,E,A,B,-,A,-,A,B,D,D,E,-,I,-,C,B,A,A,A,A,A,C,G,A,-,A,F,-,-,H,B,C,H,B,A,E,-,A,A,A,D/I,C,I,E,-,E,E,A,H,-,H,I,D,-,-,A,A,E,-,A,-,F,A,A,A,A,A,B,E,A,-,-,B,F,D,H,-
Aramaic,A,F,B,C,L,C,A,G,A,C,B,G,A,B,A,A,A,A,A,A,B,B,A,G,D,C,E,C,F,F,I,C,C,B,A,A,A,A,A,A,G,A,E,A,F,C,C,G,B,D,I,C,A,D,A,A,D,A,H,D,J,E,D,D,C,A,H,C,I,J,A,G,G,A,C,E,F,A,D,A,A,A,A,A,H,C,E,A,A,-,B,G,A,H,A
Akkadian,A,F,H,C,L,D,B,A,A,A,C,F,B,F,F,A,A,A,E,A,B,C,A,H,A,C,F,E,D,G,J,C,C,C,A,A,A,A,A,D,G,A,F,A,F,B,D,I,D,C,J,B,A,A,A,D,A,D,A,E,J,E,E,F,F,A,H,C,J,K,E,H,H,A,A,E,G,E,A,D,A,A,A,A,A,B,E,A,A,-,A,H,A,I,A
Moroccan Arabic,A,G,I,C,M,E,D,H,A,A,D,H,C,A,G,A,A,D,A,C,B,B,A,I,E,D,G,C,G,H,K,D,C,B,A,A,C,A,A,A,H,B,G,A,G,A,E,J,E,E,K,C,A,F,D,A,A,A,E,F,K,F,F,G,G,A,I,D,K,I,F,F,I,D,D,E,H,A,F,E,A,A,A,A,I,D,F,A,A,H,C,I,E,J,A
Ogaden Arabic,A,G,K,G,M,E,D,L,A,A,F,H,C,A,G,A,A,D,A,C,B,B,A,I,D,F,G,J,B,I,P,E,C,B,A,A,C,A,A,A,H,B,G,A,G,A,E,M,E,E,K,C,A,G,D,A,A,A,I,F,K,F,J,G,G,D,I,G,N,I,F,K,K,A,D,E,I,A,E,E,A,A,A,A,I,B,E,A,A,A,C,I,A,K,A
Mehri,A,H,I,H,N,E,C,I,B,D,E,I,D,A,H,A,D,E,F,D,C,B,A,J,F,E,H,F,H,J,L,F,D,D,E,A,-,A,C,E,I,A,-,A,-,B,F,K,F,A,-,D,A,-,E,A,D,E,F,G,L,G,G,D,H,C,J,E,L,L,G,G,J,D,E,F,I,A,A,A,A,F,A,E,-,C,H,B,A,G,D,F,A,-,A
Jibbali,A,H,J,I,O,F,E,I,B,E,E,J,D,G,I,C,A,E,F,A,C,D,A,J,F,E,I,G,H,K,M,G,D,E,A,A,A,A,C,E,I,A,H,A,H,B,F,K,F,D,K,D,A,H,E,E,D,E,G,G,M,G,H,H,I,C,K,F,M,M,G,H,J,A,F,G,J,A,A,A,A,F,A,A,J,C,-,A,A,G,E,F,A,L,A
Harsusi,D,G,I,H,Q,G,G,K,C,E,E,H,D,F,H,A,D,E,F,D,C,B,A,J,F,D,H,I,H,J,O,H,E,F,E,A,-,A,C,F,J,A,-,A,-,B,F,K,F,D,M,D,A,H,E,G,D,A,D/I,G,N,G,-,D,K,C,J,F,L,L,G,J,J,A,G,F,I,A,A,A,A,A,A,G,J,C,I,B,A,G,G,F,A,H,A
Soqotri,D,G,B,J,P,F,F,J,B,F,E,J,E,G,J,D,A,F,F,A,C,D,A,J,F,E,H,H,I,L,N,I,D,E,A,B,A,A,C,E,I,A,I,A,H,B,G,L,F,D,L,D,A,I,D,F,D,E,G,G,L,H,I,D,J,-,L,F,M,L,H,I,L,A,A,G,I,A,A,A,A,F,A,F,J,C,-,C,A,G,F,J,A,M,A
