ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Geez-1_all-1,,Geez,1_all,kʷɨllu,kʷɨllu,kʷ ɨ l l u,,Bender1971;Kitchen2009,,,^ kʷ ɨ l l u $,Geez
Tigre-1_all-1,,Tigre,1_all,kɨllu,kɨllu,k ɨ l l u,,Bender1971;Kitchen2009,,,^ k ɨ l l u $,Tigre
Tigrinya-1_all-1,,Tigrinya,1_all,kullu,kullu,k u l l u,,Bender1971;Kitchen2009,,,^ k u l l u $,Tigrinya
Amharic-1_all-1,,Amharic,1_all,hullu,hullu,h u l l u,,Bender1971;Kitchen2009,,,^ h u l l u $,Amharic
Argobba-1_all-1,,Argobba,1_all,diyyu,dijju,d i j j u,,Bender1971;Kitchen2009,,,^ d i j j u $,Argobba
Harari-1_all-1,,Harari,1_all,kulluzo:m,kulluzo:m,k u l l u z oː m,,Bender1971;Kitchen2009,,,^ k u l l u z o: m $,Harari
Zway-1_all-1,,Zway,1_all,hullɨn,hullɨn,h u l l ɨ n,,Bender1971;Kitchen2009,,,^ h u l l ɨ n $,Zway
Walani-1_all-1,,Walani,1_all,ullimka,ullimka,u l l i m k a,,Bender1971;Kitchen2009,,,^ u l l i m k a $,Walani
Gafat-1_all-1,,Gafat,1_all,yɨlho,jɨlho,j ɨ l h o,,Bender1971;Kitchen2009,,,^ j ɨ l h o $,Gafat
Soddo-1_all-1,,Soddo,1_all,kullɨmu,kullɨmu,k u l l ɨ m u,,Bender1971;Kitchen2009,,,^ k u l l ɨ m u $,Soddo
Mesqan-1_all-1,,Mesqan,1_all,ɨnɛmɔ,ɨnɛmɔ,ɨ n ɛ m ɔ,,Bender1971;Kitchen2009,,,^ ɨ n ɛ m ɔ $,Mesqan
Innemor-1_all-1,,Innemor,1_all,ɨnnɨ,ɨnnɨ,ɨ n n ɨ,,Bender1971;Kitchen2009,,,^ ɨ n n ɨ $,Innemor
Mesmes-1_all-1,,Mesmes,1_all,ɔt'tɛmi,ɔtˤtɛmi,ɔ tˤ t ɛ m i,,Bender1971;Kitchen2009,,,^ ɔ tˤ t ɛ m i $,Mesmes
Geto-1_all-1,,Geto,1_all,ɨnnɨm,ɨnnɨm,ɨ n n ɨ m,,Bender1971;Kitchen2009,,,^ ɨ n n ɨ m $,Geto
Chaha-1_all-1,,Chaha,1_all,ɨnnɨm,ɨnnɨm,ɨ n n ɨ m,,Bender1971;Kitchen2009,,,^ ɨ n n ɨ m $,Chaha
Hebrew-1_all-1,,Hebrew,1_all,kol,kol,k o l,,Kitchen2009;Rabin1975,,,^ k o l $,Hebrew
Ugaritic-1_all-1,,Ugaritic,1_all,kl,kl,k l,,Kitchen2009;Rabin1975,,,^ k l $,Ugaritic
Aramaic-1_all-1,,Aramaic,1_all,kul,kul,k u l,,Kitchen2009;Rabin1975,,,^ k u l $,Aramaic
Akkadian-1_all-1,,Akkadian,1_all,kalu:,kalu:,k a l uː,,Kitchen2009;Rabin1975,,,^ k a l u: $,Akkadian
Mehri-1_all-1,,Mehri,1_all,ka:l,ka:l,k aː l,,Johnstone2006;Kitchen2009,,,^ k a: l $,Mehri
Gibbali-1_all-1,,Gibbali,1_all,kal,kal,k a l,,Johnstone1981;Kitchen2009,,,^ k a l $,Gibbali
Soqotri-1_all-1,,Soqotri,1_all,faħre,faħre,f a ħ r e,,Kitchen2009;Leslau1938,,,^ f a ħ r e $,Soqotri
Harsusi-1_all-1,,Harsusi,1_all,faxreh/kal,faχreh,f a χ r e h,,Johnstone1977;Kitchen2009,,,^ f a χ r e h $,Harsusi
Harsusi-1_all-2,,Harsusi,1_all,faxreh/kal,kal,k a l,,Johnstone1977;Kitchen2009,,,^ k a l $,Harsusi
MoroccanArabic-1_all-1,,MoroccanArabic,1_all,koll,koll,k o l l,,Kitchen2009;Sobelman1963,,,^ k o l l $,MoroccanArabic
OgadenArabic-1_all-1,,OgadenArabic,1_all,kull,kull,k u l l,,Bender1971;Kitchen2009,,,^ k u l l $,OgadenArabic
Geez-2_ashes-1,,Geez,2_ashes,ħamɛd,ħamɛd,ħ a m ɛ d,,Bender1971;Kitchen2009,,,^ ħ a m ɛ d $,Geez
Tigre-2_ashes-1,,Tigre,2_ashes,ba:rɨh,ba:rɨh,b aː r ɨ h,,Bender1971;Kitchen2009,,,^ b a: r ɨ h $,Tigre
Tigrinya-2_ashes-1,,Tigrinya,2_ashes,ħamuxwušti,ħamuχwuʃti,ħ a m u χ w u ʃ t i,,Bender1971;Kitchen2009,,,^ ħ a m u χ w u ʃ t i $,Tigrinya
Amharic-2_ashes-1,,Amharic,2_ashes,amɛd,amɛd,a m ɛ d,,Bender1971;Kitchen2009,,,^ a m ɛ d $,Amharic
Argobba-2_ashes-1,,Argobba,2_ashes,ħamɛd,ħamɛd,ħ a m ɛ d,,Bender1971;Kitchen2009,,,^ ħ a m ɛ d $,Argobba
Harari-2_ashes-1,,Harari,2_ashes,ħamɛd,ħamɛd,ħ a m ɛ d,,Bender1971;Kitchen2009,,,^ ħ a m ɛ d $,Harari
Zway-2_ashes-1,,Zway,2_ashes,hamɛd,hamɛd,h a m ɛ d,,Bender1971;Kitchen2009,,,^ h a m ɛ d $,Zway
Walani-2_ashes-1,,Walani,2_ashes,amɛd,amɛd,a m ɛ d,,Bender1971;Kitchen2009,,,^ a m ɛ d $,Walani
Soddo-2_ashes-1,,Soddo,2_ashes,amɛd,amɛd,a m ɛ d,,Bender1971;Kitchen2009,,,^ a m ɛ d $,Soddo
