ID,Name,Glottocode,Sources
Akkadian,Akkadian,akka1240,Rabin1975;Kitchen2009
Amharic,Amharic,amha1245,Bender1971;Kitchen2009
Aramaic,Aramaic,olda1245,Rabin1975;Kitchen2009
Argobba,Argobba,argo1244,Bender1971;Kitchen2009
Chaha,Chaha,chah1248,Bender1971;Kitchen2009
Gafat,Gafat,gafa1240,Bender1971;Kitchen2009
Geez,Gɛ'ɛz,geez1241,Bender1971;Kitchen2009
Geto,Geto,gyet1240,Bender1971;Kitchen2009
Gibbali,Gibbali,sheh1240,Kitchen2009
Harari,Harari,hara1271,Bender1971;Kitchen2009
Harsusi,Harsusi,hars1241,Kitchen2009
Hebrew,Hebrew,hebr1245,Rabin1975;Kitchen2009
Innemor,Innemor,inor1238,Bender1971;Kitchen2009
Mehri,Mɛhri,mehr1241,Kitchen2009
Mesmes,Mesmes,mesm1243,Bender1971;Kitchen2009
Mesqan,Mesqan,mesq1240,Bender1971;Kitchen2009
MoroccanArabic,Moroccan Arabic,moro1292,Sobelman1963;Kitchen2009
OgadenArabic,Ogadɛn Arabic,ogad1238,Bender1971;Kitchen2009
Soddo,Soddo,sodd1242,Bender1971;Kitchen2009
Soqotri,Soqotri,soqo1240,Leslau1938;Kitchen2009
Tigre,Tigrɛ,tigr1270,Bender1971;Kitchen2009
Tigrinya,Tigrinya,tigr1271,Bender1971;Kitchen2009
Ugaritic,Ugaritic,ugar1238,Rabin1975;Kitchen2009
Walani,ʷalani,wola1253,Bender1971;Kitchen2009
Zway,Zway,zayy1238,Bender1971;Kitchen2009
