Grapheme	IPA	Frequence	Codepoints
a	a	1104	U+0061
ɛ	ɛ	829	U+025b
n	n	645	U+006e
r	r	637	U+0072
m	m	551	U+006d
ɨ	ɨ	454	U+0268
e	e	429	U+0065
b	b	395	U+0062
t	t	339	U+0074
d	d	332	U+0064
l	l	326	U+006c
i	i	321	U+0069
s	s	302	U+0073
u	u	290	U+0075
a:	aː	278	U+0061 U+003a
kˤ	kˤ	246	U+006b U+02e4
k	k	202	U+006b
ʔ	ʔ	201	U+0294
j	j	196	U+006a
ʃ	ʃ	194	U+0283
o	o	180	U+006f
g	g	175	U+0067
ħ	ħ	170	U+0127
h	h	168	U+0068
tˤ	tˤ	165	U+0074 U+02e4
w	w	156	U+0077
f	f	147	U+0066
z	z	122	U+007a
ʕ	ʕ	115	U+0295
sˤ	sˤ	93	U+0073 U+02e4
o:	oː	88	U+006f U+003a
e:	eː	88	U+0065 U+003a
χ	χ	82	U+03c7
ɔ	ɔ	70	U+0254
ə	ə	67	U+0259
ʒ	ʒ	67	U+0292
cˤ	cˤ	63	U+0063 U+02e4
i:	iː	63	U+0069 U+003a
-	NULL	59	U+002d
ɬ	ɬ	51	U+026c
u:	uː	48	U+0075 U+003a
θ	θ	41	U+03b8
+	+	40	U+002b
p	p	38	U+0070
ð	ð	32	U+00f0
c	c	27	U+0063
ɲ	ɲ	27	U+0272
β	β	26	U+03b2
ɣ	ɣ	25	U+0263
ʊ	ʊ	24	U+028a
ɔ:	ɔː	18	U+0254 U+003a
ɛ:	ɛː	17	U+025b U+003a
ɮ	ɮ	9	U+026e
dˤ	dˤ	8	U+0064 U+02e4
ɸ	ɸ	7	U+0278
ɟˤ	ɟˤ	7	U+025f U+02e4
kˤʷ	kʷˤ	7	U+006b U+02e4 U+02b7
ʊ:	ʊː	7	U+028a U+003a
mʷ	mʷ	6	U+006d U+02b7
ɨ:	ɨː	6	U+0268 U+003a
ñ	ɲ	6	U+00f1
æ	æ	5	U+00e6
nˤ	nˤ	4	U+006e U+02e4
gʷ	gʷ	4	U+0067 U+02b7
ç	ç	4	U+00e7
ɪ:	ɪː	3	U+026a U+003a
fʷ	fʷ	3	U+0066 U+02b7
ðˤ	ðˤ	3	U+00f0 U+02e4
kʸ	kʲ	3	U+006b U+02b8
χˤ	χˤ	3	U+03c7 U+02e4
ɟ	ɟ	3	U+025f
χʸ	χʲ	3	U+03c7 U+02b8
ɮˤ	ɮˤ	2	U+026e U+02e4
dʸ	dʲ	2	U+0064 U+02b8
ε	ɛ	2	U+03b5
ɛⁿ	ɛⁿ	2	U+025b U+207f
lʸ	lʲ	2	U+006c U+02b8
eʸ	eʲ	2	U+0065 U+02b8
jˤ	jˤ	2	U+006a U+02e4
ɪ	ɪ	2	U+026a
ẽ	ẽ	2	U+1ebd
χˤʷ	χʷˤ	2	U+03c7 U+02e4 U+02b7
kʷ	kʷ	1	U+006b U+02b7
aᵘ	aᵘ	1	U+0061 U+1d58
uʷ	uʷ	1	U+0075 U+02b7
ɵ	ɵ	1	U+0275
v	v	1	U+0076
tʸ	tʲ	1	U+0074 U+02b8
gˤ	gˤ	1	U+0067 U+02e4
nʸ	nʲ	1	U+006e U+02b8
aⁿ	aⁿ	1	U+0061 U+207f
wʸ	wʲ	1	U+0077 U+02b8
aʷ	aʷ	1	U+0061 U+02b7
tʰ	tʰ	1	U+0074 U+02b0
a:ʸ	aːʲ	1	U+0061 U+003a U+02b8
i:ʸ	iːʲ	1	U+0069 U+003a U+02b8
ʊʷ	ʊʷ	1	U+028a U+02b7
_	_	1	U+005f
χʷ	χʷ	1	U+03c7 U+02b7
oᵘ	oᵘ	1	U+006f U+1d58
ɛʸ	ɛʲ	1	U+025b U+02b8
eʰ	eʰ	1	U+0065 U+02b0
sʷ	sʷ	1	U+0073 U+02b7
ɔʷ	ɔʷ	1	U+0254 U+02b7
hʷ	hʷ	1	U+0068 U+02b7
rˤ	rˤ	1	U+0072 U+02e4
sʸ	sʲ	1	U+0073 U+02b8
ʃ:	ʃː	1	U+0283 U+003a
